Column1;ID;NUMERO;NOMBRE;DIRECCION;BARRIO;COMUNA;EMPLAZAMIENTO;ANCLAJES;Lat;Lon
273;414;385;FRANKLIN;1100 Franklin;CABALLITO;COMUNA 6;CALZADA;20;-34,6112;-58,4501
109;134;134;SOLDADO DE LA FRONTERA;4999 Soldado de la Frontera;VILLA LUGANO;COMUNA 8;PLAZOLETA;12;-34,6832;-58,466
260;327;366;VILLA OLIMPICA;4347 Escalada;VILLA LUGANO;COMUNA 8;PLAZOLETA;16;-34,6774;-58,4542
253;310;356;ESTACION LUGANO;Murguiondo 4181;VILLA LUGANO;COMUNA 8;PLAZOLETA;12;-34,6771;-58,4757
321;507;271;VILLA SOLDATI II;4249 23 de Junio;VILLA SOLDATI;COMUNA 8;VEREDA;15;-34,6732;-58,4553
270;413;382;MERCADO DE HACIENDA MATADEROS;2307 Lisandro de la Torre;MATADEROS;COMUNA 9;PLAZOLETA;16;-34,6615;-58,5016
231;301;309;UTN II;Saraza y Mozart;VILLA LUGANO;COMUNA 8;CALZADA;20;-34,6605;-58,4676
98;207;123;BASUALDO Y RODO;1700 Guardia Nacional;MATADEROS;COMUNA 9;CALZADA;16;-34,6523;-58,4874
243;302;340;PLAZA NUEVA POMPEYA;3800 Traful;NUEVA POMPEYA;COMUNA 4;PLAZA ABIERTA;16;-34,6517;-58,4146
244;307;341;COMUNA 4;Avenida Perito Moreno 2881;NUEVA POMPEYA;COMUNA 4;VEREDA;16;-34,6499;-58,4247
282;427;397;PARQUE SANTOJANNI;6373 Acasusso;LINIERS;COMUNA 9;CALZADA;16;-34,6484;-58,5136
261;374;367;EVA PERON;Primera junta 3896 & Laguna;PARQUE AVELLANEDA;COMUNA 9;VEREDA;16;-34,6473;-58,47
239;252;331;CALIFORNIA;California y Hornos;BARRACAS;COMUNA 4;VEREDA;16;-34,647;-58,3743
234;403;316;BUENOS AIRES;Luna & Suarez EX Lafayette 678;BARRACAS;COMUNA 4;CALZADA;20;-34,6459;-58,3968
275;251;388;PLAZA JOSE C PAZ;3394 Jose. C Paz EX Pepiri & Paz, Jose C.;PARQUE PATRICIOS;COMUNA 4;PLAZA ABIERTA;20;-34,64503;-58,40973
279;425;394;AV. LA PLATA;804 Arbeletche, Anibal P.;NUEVA POMPEYA;COMUNA 4;CALZADA;16;-34,64408;-58,42212
252;363;354;JOSE MARTI;Av. Eva Perón 3321 Reubicada EX 3101 Primera Junta;FLORES;COMUNA 7;VEREDA;16;-34,6438;-58,463
299;481;369;PLAZA LARRAZABAL;Avenida Larrazabal 380 y Garcia de Cossio;LINIERS;COMUNA 9;VEREDA;12;-34,6428;-58,5126
238;407;330;PARQUE AVELLANEDA;Remedios 3895;PARQUE AVELLANEDA;COMUNA 9;PLAZA ABIERTA;28;-34,6423;-58,4783
256;265;361;PLAZA DON SEGUNDO SOMBRA;2347 Santander;FLORES;COMUNA 7;VEREDA;16;-34,6419;-58,4507
17;21;21;PARQUE PATRICIOS;Iguazu & Uspallata;PARQUE PATRICIOS;COMUNA 4;PLAZOLETA;24;-34,6403;-58,4065
101;126;126;MINISTERIO DE JUSTICIA Y SEGURIDAD;Regimiento De Patricios Av. & Araoz De Lamadrid, Gregorio, Gral.;BOCA;COMUNA 4;VEREDA/dentro del ministerio;16;-34,6401;-58,3693
262;270;370;BEAUCHEF;1995 Beauchef;PARQUE CHACABUCO;COMUNA 7;CALZADA;20;-34,6401;-58,4304
323;508;170;RAFAELA;Rafaela 4811;VILLA LURO;COMUNA 10 ;VEREDA;12;-34,6393;-58,4947
162;429;201;PLAZA EJERCITO DE LOS ANDES;40 Albariño;VILLA LURO;COMUNA 10;PLAZA;8;-34,6391;-58,5101
293;475;238;PLAZA LAS TOSCANERAS;Coronel Ramon Lista 5500 y Moliere;VILLA REAL;COMUNA 10 ;VEREDA;12;-34,639;-58,5043
145;179;179;CASA SAN;Olavarria y Garibaldi;BOCA;COMUNA 4;CALZADA;16;-34,6385;-58,3643
274;424;387;LUNA;201 Luna;PARQUE PATRICIOS;COMUNA 4;CALZADA;16;-34,63847;-58,3997
125;155;155;PARQUE JOSE EVARISTO URIBURU;Avenida Almafuerte 6;NUEVA POMPEYA;COMUNA 4;PLAZA ABIERTA;20;-34,6381;-58,4112
210;433;273;PLAZOLETA COLOMBIA;1619 Brandsen;BARRACAS;COMUNA 4;CALZADA;20;-34,6377;-58,3737
316;41;41;PARQUE PATRICIOS II;Avenida Caseros 3015;PARQUE PATRICIOS;COMUNA 4;VEREDA;20;-34,6374;-58,4057
